"Month_Year","oecd_li","abs_imports","abs_exports","GOFO...1.Month","USD..AM.","aud_usd_bid_avg","unemployment","RBA Cash Rate","Year.end.Inflation","Quarterly.Inflation","Aud_usd","Date","close","djia","pe.ratio","yield","iron","oil"
"01-2005",100.2116,11154780,9232638,0.065,1502.95,0.6719,4.381,5.25,2.5,1,NA,2005-01-01,4107,10490,17,3.6,28,47
"02-2005",100.1457,11123461,9503409,0.09,1493.65,0.6728,4.386,5.25,2.5,1,0.7737,2005-02-01,4173,10766,15.1,3.8,28,48
"03-2005",100.0687,12699350,10451659,0.085,1494.6,0.6744,4.391,5.5,2.5,1,0.7869,2005-03-01,4110,10504,14.9,3.9,28,54
"04-2005",100.0158,12569908,11566650,0.08,1509.95,0.6761,4.396,5.5,2.4,0.5,0.773,2005-04-01,3983,10193,14.3,4,28,53
"05-2005",99.97686,12788296,12149662,0.08,1504.95,0.6737,4.401,5.5,2.4,0.5,NA,2005-05-01,4106,10467,14.3,4,28,50
"06-2005",99.93579,12806139,11582633,0.075,1542.6,0.6756,4.406,5.5,2.4,0.5,0.7561,2005-06-01,4278,10275,15.2,3.8,28,56
"07-2005",99.88754,12964506,12267962,0.035,1538.8,0.6771,4.411,5.5,2.5,0.6,0.7579,2005-07-01,4389,10641,15.6,3.7,28,59
"08-2005",99.84252,13759823,11904079,0.0675,1532.45,0.6778,4.415,5.5,2.5,0.6,NA,2005-08-01,4447,10482,16,3.4,28,65
"09-2005",99.81567,13660800,11743859,0.075,1523.35,0.6774,4.42,5.5,2.5,0.6,0.7552,2005-09-01,4641,10569,16,3.7,28,66
"10-2005",99.81302,13366487,12526899,0.0825,1526.55,0.6778,4.425,5.5,3.1,1,NA,2005-10-01,4460,10440,15.3,3.8,28,62
"11-2005",99.82775,15129155,12130789,0.1,1536.65,0.6782,4.429,5.5,3.1,1,0.7462,2005-11-01,4635,10806,15.5,3.8,28,58
"12-2005",99.84965,13590451,14018458,0.105,1541.75,0.677,4.434,5.5,3.1,1,0.7385,2005-12-01,4763,10718,16,3.7,28,59
"01-2006",99.85685,13348271,10808364,0.1075,1531.85,0.6787,4.439,5.5,2.8,0.6,NA,2006-01-01,4930,10865,16.5,3.6,33,65
"02-2006",99.84747,12674235,12358417,0.1,1495.5,0.6758,4.443,5.5,2.8,0.6,0.7577,2006-02-01,4921,10993,14.7,3.8,33,62
"03-2006",99.81744,14365491,13172204,0.0575,1498.7,0.6779,4.447,5.5,2.8,0.6,0.743,2006-03-01,5130,11109,15.7,3.6,33,63
"04-2006",99.78557,14004362,13425403,0.045,1499.65,0.6807,4.452,5.5,2.9,0.8,NA,2006-04-01,5259,11367,16.2,3.5,33,70
"05-2006",99.794,15422466,13471602,0.025,1502.65,0.677,4.456,5.5,2.9,0.8,0.7614,2006-05-01,5002,11168,15.2,3.8,33,71
"06-2006",99.86778,15077949,14664296,-0.005,1499.35,0.6744,4.46,5.5,2.9,0.8,0.7488,2006-06-01,5074,11150,15.3,3.8,33,71
"07-2006",100.005,14192201,14312579,-0.05,1509.05,0.678,4.464,5.5,4,1.5,NA,2006-07-01,4986,11186,15.2,3.8,33,74
"08-2006",100.1765,15216060,14301930,-0.05,1517.65,0.6772,4.468,6,4,1.5,0.763,2006-08-01,5115,11381,13.3,3.9,33,73
"09-2006",100.3579,15044124,14000190,-0.04,1500.35,0.6805,4.472,6,4,1.5,0.765,2006-09-01,5154,11679,13.3,3.9,33,64
"10-2006",100.5251,16341165,14645785,-0.0425,1527.2,0.6847,4.476,6,4,0.8,NA,2006-10-01,5384,12081,13.9,3.7,33,59
"11-2006",100.6666,15693598,13895531,-0.065,1501.95,0.6886,4.48,6,4,0.8,0.7739,2006-11-01,5482,12222,13.8,3.9,33,59
"12-2006",100.77,14643723,14697480,-0.08,1503.5,0.6898,4.484,6,4,0.8,0.7896,2006-12-01,5670,12463,14.4,3.7,33,62
"01-2007",100.8396,14541289,12624735,-0.09,1497.4,0.6907,4.488,6,3.3,0.1,NA,2007-01-01,5773,12622,14.7,3.7,37,54
"02-2007",100.8764,14086028,13252546,-0.0625,1487.65,0.6942,4.492,6,3.3,0.1,0.7751,2007-02-01,5833,12269,13.9,3.8,37,59
"03-2007",100.8828,15334324,13928735,-0.035,1461.85,0.6972,4.497,6,3.3,0.1,0.786,2007-03-01,5995,12354,14.2,3.7,37,61
"04-2007",100.8796,14614800,13878022,-0.03,1457.45,0.6983,4.501,6,2.5,0,NA,2007-04-01,6166,13063,14.6,3.6,37,64
"05-2007",100.8766,15636163,14699971,-0.0625,1436.05,0.7024,4.505,6,2.5,0,0.8292,2007-05-01,6314,13628,14.9,3.6,37,63
"06-2007",100.8757,15389033,13861035,-0.03333,1406.4,0.7039,4.51,6,2.5,0,0.8295,2007-06-01,6275,13409,15.1,3.3,37,67
"07-2007",100.8831,15242660,14404899,0.0925,1430.55,0.7065,4.514,6,2.1,1.2,NA,2007-07-01,6144,13212,15.3,3.3,37,74
"08-2007",100.8928,16871178,14642700,0.125,1428.45,0.7023,4.519,6,2.1,1.2,0.8454,2007-08-01,6247,13358,13.6,3.6,37,72
"09-2007",100.9066,15556230,13740272,0.1325,1418.95,0.7011,4.523,6,2.1,1.2,NA,2007-09-01,6568,13896,14.4,3.4,37,80
"10-2007",100.912,17377972,13689019,0.1375,1418.25,0.7035,4.528,6,1.8,0.6,NA,2007-10-01,6754,13930,14.9,3.4,37,86
"11-2007",100.8913,17439927,14081291,0.1375,1426.35,0.7028,4.533,6,1.8,0.6,0.9305,2007-11-01,6533,13372,14.3,3.6,37,95
"12-2007",100.825,15697219,15581728,0.0975,1425.55,0.6989,4.538,6,1.8,0.6,NA,2007-12-01,6340,13265,14,3.7,37,91
"01-2008",100.7146,16874900,13422014,0.0725,1417.55,0.6969,4.543,6,2.9,1.2,NA,2008-01-01,5650,12650,12.4,4.1,61,93
"02-2008",100.5883,16606530,13614422,0.035,1424.45,0.692,4.548,6,2.9,1.2,0.8951,2008-02-01,5572,12266,12,4.1,61,95
"03-2008",100.4803,16716426,15435964,-0.17,1437.05,0.6956,4.553,6,2.9,1.2,NA,2008-03-01,5356,12263,12.5,4.2,61,105
"04-2008",100.4016,17566772,16351597,-0.285,1420.9,0.6984,4.558,6,4.3,1.2,0.9102,2008-04-01,5595,12820,12.5,4.2,61,113
"05-2008",100.3163,18204582,17791925,-0.3825,1400.8,0.7022,4.562,6,4.3,1.2,0.9377,2008-05-01,5655,12638,12.5,4.1,61,125
"06-2008",100.1976,18135153,18100903,-0.5825,1416.1,0.7032,4.567,6,4.3,1.2,NA,2008-06-01,5215,11350,11.3,4.5,61,134
"07-2008",100.0292,19617136,18645306,-0.49333,1416.25,0.6994,4.572,6,4.4,1.3,0.9553,2008-07-01,4977,11378,11,4.7,61,133
"08-2008",99.79926,18436702,20471984,-0.4,1405.6,0.6975,4.577,6,4.4,1.3,0.9374,2008-08-01,5136,11544,11.4,4.8,61,117
"09-2008",99.48581,20946473,21630047,-0.3375,1423.1,0.7002,4.582,6,4.4,1.3,0.8537,2008-09-01,4601,10851,10.3,4.9,61,104
"10-2008",99.09634,21812145,24148971,-0.2975,1395.45,0.7007,4.587,6,5,1.1,0.7962,2008-10-01,4018,9325,8.6,6.5,61,77
"11-2008",98.66235,20887392,21869608,-0.2525,1387.9,0.6993,4.592,6,5,1.1,NA,2008-11-01,3743,8829,8.5,6.7,61,57
"12-2008",98.24993,20141691,20858176,-0.245,1404.9,0.6967,4.597,6,5,1.1,0.6481,2008-12-01,3722,8776,8.9,6.3,70,41
"01-2009",97.90934,17165194,17354348,-0.2225,1414.4,0.6961,4.602,6,3.7,0,NA,2009-01-01,3541,8001,8.2,6.9,73,42
"02-2009",97.66645,16527777,18502994,-0.24,1415.25,0.6951,4.607,6,3.7,0,NA,2009-02-01,3345,7063,8.7,6.8,76,39
"03-2009",97.53863,17325023,19832220,-0.2125,1425.1,0.6927,4.611,6,3.7,0,NA,2009-03-01,3582,7609,9.3,6.1,64,48
"04-2009",97.54479,16204854,16277937,-0.22,1393.1,0.6896,4.616,6,2.4,-0.1,0.6883,2009-04-01,3781,8168,9.8,5.6,60,50
"05-2009",97.69201,14725029,15667180,-0.2175,1390.05,0.6875,4.621,6,2.4,-0.1,0.7274,2009-05-01,3818,8500,10.4,5.3,63,59
"06-2009",97.97149,15693884,15570234,-0.2125,1413.2,0.6843,4.626,6,2.4,-0.1,0.805,2009-06-01,3955,8447,10.3,5.2,72,70
"07-2009",98.35651,16722724,15292715,-0.2025,1402.25,0.6877,4.633,6,1.4,0.5,0.8037,2009-07-01,4244,9172,10.9,4.9,84,64
"08-2009",98.80561,15472188,15190376,-0.185,1406.75,0.6899,4.641,6,1.4,0.5,NA,2009-08-01,4479,9496,13.6,4,98,71
"09-2009",99.26788,17594836,15913849,-0.135,1429.55,0.6916,4.655,6,1.4,0.5,0.842,2009-09-01,4744,9712,14.1,3.8,81,69
"10-2009",99.69787,17951542,15808293,-0.1625,1405.45,0.6951,4.674,6,1.2,0.8,0.8789,2009-10-01,4643,9713,13.7,3.9,87,76
"11-2009",100.0782,17552101,14614734,-0.185,1388.35,0.6956,4.698,6,1.2,0.8,NA,2009-11-01,4701,10345,14.8,3.7,99,78
"12-2009",100.398,17628419,16532215,-0.0875,1381.65,0.6974,4.728,3.75,1.2,0.8,0.9136,2009-12-01,4871,10428,15.2,3.6,105,74
"01-2010",100.6475,15360806,14656114,-0.05,1342.4,0.6973,4.76,3.75,2.1,0.9,NA,2010-01-01,4570,10067,14.5,3.7,126,78
"02-2010",100.8121,15274892,14909840,-0.0475,1344.55,0.697,4.813,3.75,2.1,0.9,0.8831,2010-02-01,4638,10325,16,3.5,128,76
"03-2010",100.9033,18025204,16711995,-0.025,1333.2,0.6996,4.885,3.75,2.1,0.9,0.8975,2010-03-01,4876,10857,17.2,3.3,140,81
"04-2010",100.9413,17157982,18581970,-0.0475,1352.45,0.6972,4.975,3.75,2.9,0.7,0.9164,2010-04-01,4807,11009,16.7,3.5,172,84
"05-2010",100.9422,17272954,20692357,-0.0775,1335.8,0.6948,5.084,3.75,2.9,0.7,NA,2010-05-01,4430,10137,15.5,3.7,161,74
"06-2010",100.9239,17963459,21815673,-0.08,1336.65,0.6913,5.202,3.75,2.9,0.7,0.8385,2010-06-01,4302,9774,15.2,3.8,144,75
"07-2010",100.8968,18749130,21109699,-0.095,1322.65,0.6924,5.309,3.75,3.1,0.6,0.8366,2010-07-01,4494,10466,15.7,3.7,126,76
"08-2010",100.8778,17416718,21035585,0.02,1328.6,0.6923,5.458,3.75,3.1,0.6,NA,2010-08-01,4404,10015,15.2,4,145,77
"09-2010",100.8736,18336185,20098501,0.0725,1334.3,0.6922,5.6,3.75,3.1,0.6,0.9,2010-09-01,4583,10788,16.1,3.8,141,75
"10-2010",100.8877,17633750,20580548,0.1,1336.65,0.693,5.658,3.75,2.9,0.6,0.9657,2010-10-01,4662,11118,16.1,3.9,148,82
"11-2010",100.8944,19095697,19656552,0.0775,1337.75,0.6891,5.729,3.75,2.9,0.6,0.9881,2010-11-01,4584,11006,15.1,4.1,161,84
"12-2010",100.8796,18191498,21292181,0.0725,1323.6,0.6873,5.765,3.75,2.9,0.6,0.9571,2010-12-01,4745,11578,15.9,3.9,169,89
"01-2011",100.8232,15638552,17468299,0.08,1313.95,0.6879,5.799,3.75,2.8,0.6,NA,2011-01-01,4754,11892,15.9,3.9,180,90
"02-2011",100.713,16538714,17322919,0.07,1296,0.6895,5.784,3.75,2.8,0.6,1.0037,2011-02-01,4832,12226,15.3,3.9,187,89
"03-2011",100.5525,18526531,21624171,0.065,1276.45,0.6916,5.777,3.75,2.8,0.6,1.0156,2011-03-01,4838,12320,15.1,3.9,169,103
"04-2011",100.3355,17336713,20679430,0.02,1283.5,0.6887,5.761,3.75,3.3,1.3,1.0345,2011-04-01,4823,12811,14.8,4,179,110
"05-2011",100.0865,17955455,22651420,0.02,1283.9,0.6916,5.729,3.75,3.3,1.3,NA,2011-05-01,4708,12570,14.3,4.1,177,101
"06-2011",99.83968,18385137,22204603,0.04,1281.5,0.6928,5.687,3.75,3.3,1.3,1.0748,2011-06-01,4608,12414,13.9,4.2,171,96
"07-2011",99.623,19540533,22223885,0.03667,1275.95,0.695,5.653,3.75,3.5,1.1,1.0715,2011-07-01,4425,12143,13.4,4.4,173,97
"08-2011",99.44605,20528404,24683141,0.055,1274,0.6977,5.612,3.75,3.5,1.1,NA,2011-08-01,4297,11614,12.3,4.5,177,86
"09-2011",99.29475,20243290,23440652,0.075,1276,0.6995,5.47,3.75,3.5,1.1,1.0703,2011-09-01,4009,10913,11.3,4.9,177,86
"10-2011",99.1815,20729404,23213312,0.085,1275.25,0.6976,5.363,3.75,3.4,0.3,NA,2011-10-01,4298,11955,12,4.6,150,86
"11-2011",99.12096,21463512,21954584,0.105,1285.8,0.7016,5.253,4.5,3.4,0.3,1.0455,2011-11-01,4120,12046,11.8,4.8,136,97
"12-2011",99.10593,20010578,24230897,0.115,1295.55,0.7006,5.184,4.5,3.4,0.3,1.0256,2011-12-01,4057,12218,12.1,4.8,136,99
"01-2012",99.13484,19086930,18388897,0.12,1298.9,0.698,5.078,4.5,3,0.2,NA,2012-01-01,4263,12633,12.6,4.6,140,100
"02-2012",99.21284,17897970,18930687,0.1275,1297.6,0.6994,4.966,4.5,3,0.2,1.061,2012-02-01,4299,12952,12.5,4.6,140,102
"03-2012",99.33902,20808983,20783874,0.12,1282.95,0.7021,4.938,4.5,3,0.2,1.0763,2012-03-01,4335,13212,12.9,4.6,145,106
"04-2012",99.52291,18800997,21163205,0.105,1285.4,0.7051,4.892,4.5,1.6,0,NA,2012-04-01,4397,13214,13.4,4.5,148,103
"05-2012",99.73331,20735338,22641113,0.11,1284.1,0.7045,4.905,3.75,1.6,0,1.0339,2012-05-01,4076,12393,12.6,4.8,136,95
"06-2012",99.91151,19883338,22362610,0.105,1287.75,0.7051,4.919,3.75,1.6,0,0.97,2012-06-01,4095,12880,12.6,4.8,135,82
"07-2012",100.0274,20493508,21589584,0.1075,1281.3,0.7023,4.935,3.75,1.2,0.6,NA,2012-07-01,4269,13009,12.8,4.7,128,88
"08-2012",100.0958,21565754,20639512,0.106,1270.05,0.7015,4.95,3.75,1.2,0.6,1.0507,2012-08-01,4316,13091,14.3,4.6,108,94
"09-2012",100.1287,19258505,19598951,0.13,1271.45,0.7051,4.965,3.75,1.2,0.6,NA,2012-09-01,4387,13437,14.4,4.5,99,95
"10-2012",100.1194,22166085,20238945,0.148,1281.8,0.7122,4.976,3.75,2,1.1,NA,2012-10-01,4517,13096,14.8,4.5,114,90
"11-2012",100.0755,22724365,19654091,0.152,1285.15,0.715,4.984,3.75,2,1.1,1.0372,2012-11-01,4506,13026,14.6,4.5,120,87
"12-2012",100.0115,18390370,21755655,0.15,1282.15,0.7149,4.99,3.75,2,1.1,NA,2012-12-01,4649,13104,15.6,4.3,129,88
"01-2013",99.93233,18897466,17978065,0.142,1281.5,0.7176,4.996,3.75,2.2,0.4,NA,2013-01-01,4879,13861,16.4,4.1,150,95
"02-2013",99.85776,17906978,18928090,0.134,1277.85,0.7184,5.003,3.75,2.2,0.4,1.039,2013-02-01,5104,14054,17.2,4,155,95
"03-2013",99.79671,18031184,21284490,0.12,1273.8,0.7154,5.011,3.75,2.2,0.4,1.0232,2013-03-01,4967,14579,17,4.1,140,93
"04-2013",99.74992,18590914,20634088,0.11,1273.45,0.717,5.02,3.75,2.5,0.4,NA,2013-04-01,5191,14840,17.6,3.9,137,92
"05-2013",99.71473,20020456,22504413,0.1,1276.5,0.7129,5.028,3.75,2.5,0.4,1.0367,2013-05-01,4927,15116,17,4.1,124,95
"06-2013",99.69883,18411011,22171764,0.094,1276.1,0.716,5.038,3.75,2.5,0.4,NA,2013-06-01,4803,14910,16.5,4.2,115,96
"07-2013",99.72575,21865589,22152630,0.08,1283.75,0.7131,5.047,3.75,2.4,0.5,0.9194,2013-07-01,5052,15500,17.3,4,127,105
"08-2013",99.80385,21662533,23543247,0.072,1286.75,0.7133,5.057,3.75,2.4,0.5,0.8969,2013-08-01,5135,14810,16.2,4,137,107
"09-2013",99.91592,21255863,22687546,0.076,1296.15,0.7096,5.067,3.75,2.4,0.5,NA,2013-09-01,5219,15130,16.8,4.2,134,106
"10-2013",100.0218,22099393,22706928,0.082,1304.65,0.712,5.077,3.75,2.2,1,0.9396,2013-10-01,5426,15546,16.9,4.1,133,101
"11-2013",100.0831,21771315,21837777,0.084,1304.8,0.7115,5.087,3.75,2.2,1,0.9481,2013-11-01,5320,16086,16.6,4.2,136,94
"12-2013",100.0763,20450067,25528894,0.088,1301.85,0.7096,5.097,3.75,2.2,1,NA,2013-12-01,5352,16577,16.7,4.2,136,98
"01-2014",99.99612,21749483,21981006,0.088,1297.1,0.7091,5.108,3.75,2.7,0.8,NA,2014-01-01,5190,15699,16.3,4.3,128,95
"02-2014",99.8577,20150608,22428450,0.092,1288.9,0.7121,5.119,3.75,2.7,0.8,NA,2014-02-01,5405,16322,16.1,4.1,121,101
"03-2014",99.69777,19673635,23981938,0.09,1291.6,0.7086,5.129,3.75,2.7,0.8,NA,2014-03-01,5395,16458,15.9,4.3,112,101
"04-2014",99.55849,20216997,22253514,0.0975,1291.85,0.7089,5.14,3.75,2.9,0.7,0.9263,2014-04-01,5489,16581,16.2,4.2,115,102
"05-2014",99.47518,21064658,21955980,0.064,1287.2,0.711,5.151,3.75,2.9,0.7,0.9295,2014-05-01,5493,16717,16.1,4.2,101,102
"06-2014",99.47414,20309763,21862695,0.065,1291.9,0.7118,5.161,3.75,2.9,0.7,NA,2014-06-01,5396,16827,15.7,4.3,93,105
"07-2014",99.56172,21744994,22169505,0.058,1291.15,0.7078,5.172,3.75,3,0.7,0.9454,2014-07-01,5633,16563,16.5,4.1,96,103
"08-2014",99.7224,20187213,21755089,0.054,1306.9,0.7105,5.183,3.75,3,0.7,0.9294,2014-08-01,5626,17098,16.2,4.2,93,96
"09-2014",99.93857,22649955,21199738,0.054,1318.25,0.7146,5.193,3.75,3,0.7,0.934,2014-09-01,5293,17043,15.2,4.5,82,93
"10-2014",100.2097,22352061,21835893,0.052,1315.25,0.7077,5.204,3.75,2.3,0.2,0.8693,2014-10-01,5527,17391,16,4.3,80,84
"11-2014",100.4917,21480193,20961664,0.056,1319.35,0.7099,5.214,3.75,2.3,0.2,NA,2014-11-01,5313,17828,15,4.4,73,76
"12-2014",100.7359,21110840,23536325,0.054,1311.1,0.7102,5.224,3.75,2.3,0.2,0.8453,2014-12-01,5411,17823,15.4,4.5,69,59
"01-2015",100.8967,20657151,19859363,0.064,1317.3,0.7079,5.235,3.75,1.7,0.2,NA,2015-01-01,5588,17165,15.7,4.4,67,48
"02-2015",100.9433,19948317,20575622,0.056,1303,0.707,5.245,3.75,1.7,0.2,NA,2015-02-01,5929,18133,15.7,4.2,63,51
"03-2015",100.8713,21155722,21966505,0.048,1308.35,0.7058,5.255,3.75,1.7,0.2,NA,2015-03-01,5892,17776,15.6,4.2,57,48
"04-2015",100.7052,22095618,18977489,0.026,1305.35,0.7069,5.265,3.75,1.3,0.3,0.7639,2015-04-01,5790,17841,16.9,4.2,51,54
"05-2015",100.4924,20908519,20456792,-0.002,1302.65,0.7038,5.275,3.75,1.3,0.3,0.7903,2015-05-01,5777,18011,15.9,4.5,60,59
"06-2015",100.2784,22590739,21256754,-0.006,1299.2,0.7013,5.285,3.75,1.3,0.3,0.765,2015-06-01,5459,17620,15.4,4.6,62,60
"07-2015",100.098,24011274,21427992,0.028,1308.4,0.7039,5.294,3.75,1.5,0.8,0.7713,2015-07-01,5699,17690,15.8,4.5,52,51
"08-2015",99.96089,21800185,21536899,0.056,1296.95,0.7047,5.304,3.75,1.5,0.8,NA,2015-08-01,5207,16528,15.6,4.9,55,43
"09-2015",99.85966,24189085,21849337,0.08,1296.35,0.7078,5.313,3.75,1.5,0.8,0.7126,2015-09-01,5022,16285,15,5.1,56,45
"10-2015",99.78909,24288489,21166004,0.094,1294.1,0.7088,5.323,3.75,1.5,0.1,0.7055,2015-10-01,5239,17664,15.7,4.8,53,46
"11-2015",99.74448,23628293,19975768,0.104,1286.4,0.7093,5.332,3.75,1.5,0.1,NA,2015-11-01,5167,17720,15.8,4.7,46,43
"12-2015",99.75178,21800918,20563697,0.118,1285.55,0.7141,5.341,3.75,1.5,0.1,0.7264,2015-12-01,5296,17425,15.8,4.7,40,37
"01-2016",99.81384,20077903,17133906,0.13,1285,0.7182,5.35,3.75,1.7,0.5,NA,2016-01-01,5006,16466,15.1,5,41,32
"02-2016",99.91864,20559673,18502294,0.126,1287.45,0.7158,5.36,3.75,1.7,0.5,0.7072,2016-02-01,4881,16517,14.4,4.8,46,30
"03-2016",100.0378,20466057,20502731,0.102,1309.95,0.7149,5.369,3.75,1.7,0.5,0.7132,2016-03-01,5083,17685,14.6,4.7,56,38
"04-2016",100.1414,19842359,19689755,0.096,1325.45,0.7099,5.379,3.75,1.3,-0.1,0.7651,2016-04-01,5252,17774,15.5,4.4,60,41
"05-2016",100.2215,20486328,20673428,0.106,1326.45,0.7139,5.389,3.75,1.3,-0.1,NA,2016-05-01,5379,17787,17,4.5,55,47
"06-2016",100.2803,22112950,20400902,0.11,1327.55,0.7162,5.399,3.75,1.3,-0.1,0.727,2016-06-01,5233,17930,16,4.6,51,49
"07-2016",100.3262,20854205,21089206,0.106,1329.15,0.7117,5.409,3.75,1,0.6,0.746,2016-07-01,5562,18432,17.3,4.3,57,45
"08-2016",100.3361,22249642,21551791,0.098,1322.25,0.7149,5.42,3.75,1,0.6,NA,2016-08-01,5433,18401,16.7,4.4,60,45
"09-2016",100.3101,22045073,21653193,0.106,1335.05,0.7092,5.431,3.75,1,0.6,0.7538,2016-09-01,5436,18308,16.5,4.4,57,45
"10-2016",100.2772,21741640,22296517,0.106,1345.75,0.7107,5.442,3.75,1.3,0.5,NA,2016-10-01,5318,18142,16,4.6,58,50
"11-2016",100.2663,22488497,25246575,0.084,1329.55,0.7116,5.454,3.75,1.3,0.5,0.7653,2016-11-01,5441,19132,16.9,4.5,72,46
"12-2016",100.275,21420533,29727750,0.066,1323.95,0.7073,5.467,3.75,1.3,0.5,0.7408,2016-12-01,5666,19774,17.7,4.3,79,52
"01-2017",100.3005,21482415,23677160,0.066,1318,0.7096,5.48,3.75,1.5,0.5,NA,2017-01-01,5621,19864,17.3,4.4,81,53
"02-2017",100.3403,19368175,23994123,0.082,1305.65,0.7076,5.493,3.75,1.5,0.5,0.7566,2017-02-01,5712,20812,18.5,4.2,89,53
"03-2017",100.3735,22618339,26886044,0.094,1311.15,0.7102,5.507,3.75,1.5,0.5,0.7656,2017-03-01,5865,20662,18.6,4.1,87,50
"04-2017",100.3995,20242041,22965565,0.094,1311.6,0.7173,5.522,3.75,2.1,0.6,NA,2017-04-01,5924,20941,19,4,70,51
"05-2017",100.3965,26323152,26172370,0.098,1306.75,0.7233,5.537,3.75,2.1,0.6,0.7486,2017-05-01,5725,21009,17.2,4.2,62,49
"06-2017",100.3652,23174367,25619416,0.1,1311.1,0.7234,5.553,3.75,2.1,0.6,0.7403,2017-06-01,5722,21352,17.3,4.2,58,45
"07-2017",100.2991,30106020,25115734,0.08,1306.6,0.725,5.569,3.75,1.9,0.4,NA,2017-07-01,5721,21964,17.4,4.2,66,47
"08-2017",100.2446,26251653,25163123,0.088,1313.35,0.7261,5.585,3.75,1.9,0.4,0.8011,2017-08-01,5715,21951,15.4,4.4,75,48
"09-2017",100.1968,25920168,25264676,0.082,1314,0.7186,5.602,3.75,1.9,0.4,0.7934,2017-09-01,5682,22405,15.4,4.4,70,50
"10-2017",100.1469,23931722,24550487,0.094,1311,0.7161,5.619,3.75,1.8,0.4,NA,2017-10-01,5909,23377,15.8,4.2,60,52
"11-2017",100.0753,25078744,24751912,0.104,1320.75,0.7187,5.637,3.75,1.8,0.4,0.7659,2017-11-01,5970,24260,15.9,4.2,63,57
"12-2017",99.9664,23794592,27174096,0.108,1322.5,0.7095,5.656,3.75,1.8,0.4,0.7564,2017-12-01,6065,24744,16.1,4.1,71,58
"01-2018",99.84639,24337082,25212698,0.094,1312.95,0.7122,5.674,3.75,1.9,0.6,NA,2018-01-01,6038,26149,15.9,4.1,76,64
"02-2018",99.73582,22725609,25164786,0.07,1308.35,0.7131,5.693,3.75,1.9,0.6,0.8044,2018-02-01,6016,25029,16.1,4.2,77,62
"03-2018",99.66441,23774419,27876607,0.056,1301,0.714,5.713,3.75,1.9,0.6,0.7731,2018-03-01,5759,24103,15.4,4.4,70,63
"04-2018",99.64052,23404810,26130090,0.054,1282.95,0.7167,5.732,3.75,1.9,0.6,NA,2018-04-01,5983,24167,16,4.2,65,66
"05-2018",99.66236,26220711,28306429,0.05,1279.75,0.719,5.752,3.75,1.9,0.6,0.754,2018-05-01,6012,24416,16,4.2,67,70
"06-2018",99.70044,25613669,29767829,0.05,1284.9,0.7162,5.772,3.75,1.9,0.6,0.7541,2018-06-01,6195,24271,16.7,4.1,65,67
"07-2018",99.71234,25178831,29319556,0.054,1284.75,0.7199,5.791,3.75,2.1,0.4,NA,2018-07-01,6280,25414,16.8,4,64,70
"08-2018",99.6832,26750715,30035258,0.05,1278.7,0.7209,5.811,3.75,2.1,0.4,0.7407,2018-08-01,6320,25965,16.9,4,68,68
"09-2018",99.62369,25025400,29503229,0.042,1285.05,0.7192,5.83,3.75,2.1,0.4,NA,2018-09-01,6208,26458,16.7,4.1,68,70
"10-2018",99.55698,28930255,30620354,0.024,1294,0.7201,5.849,3.75,1.9,0.3,NA,2018-10-01,5830,25116,15.6,4.4,71,71
"11-2018",99.51738,28666381,30536453,0.024,1290.5,0.7174,5.867,3.75,1.9,0.3,0.713,2018-11-01,5667,25538,15.4,4.5,74,57
"12-2018",99.53677,23421590,32142301,0.012,1289.35,0.7153,5.885,3.75,1.9,0.3,NA,2018-12-01,5646,23327,14.8,4.7,68,49
"01-2019",99.62044,26040845,29756106,0.002,1293.7,0.7132,5.901,3.75,1.8,0.4,NA,2019-01-01,5865,25000,15.7,4.4,74,52
"02-2019",99.75449,23352674,29175638,0.018,1292.8,0.7129,5.917,3.75,1.8,0.4,0.7241,2019-02-01,6169,25916,15.8,4.3,80,50
"03-2019",99.909,24015372,31239055,0.0375,1292.4,0.7015,5.933,3.75,1.8,0.4,0.7093,2019-03-01,6181,25929,16.1,4.2,86,58
"04-2019",100.076,24884490,31083441,0.058,1281.3,0.6934,5.947,3.75,1.3,0.1,0.7121,2019-04-01,6325,26593,16.3,4.2,93,64
"05-2019",100.2281,26733616,33965221,0.05,1283.9,0.7026,5.961,3.75,1.3,0.1,0.7054,2019-05-01,6397,24815,16.3,4,96,61
"06-2019",100.3272,23687558,35011331,0.04,1291.5,0.7063,5.973,3.75,1.3,0.1,NA,2019-06-01,6619,26600,17.2,4,104,55
"07-2019",100.3387,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6994,2019-07-01,NA,NA,NA,NA,NA,NA
