Date,Open,High,Low,Close,Return (%),
5/29/92,1704.6,1704.6,1704.6,1704.6,,
6/30/92,1700.5,1704.5,1646.4,1665.9,-2.27,
7/31/92,1668.4,1685.0,1620.6,1633.3,-1.96,
8/31/92,1632.8,1632.8,1526.5,1557.9,-4.62,
9/30/92,1551.0,1551.0,1483.9,1487.9,-4.49,
10/30/92,1474.7,1486.7,1417.8,1428.8,-3.97,
11/30/92,1412.7,1467.9,1358.5,1456.4,1.93,
12/31/92,1452.3,1564.7,1442.1,1564.7,7.44,
1/29/93,1576.1,1579.9,1502.2,1536.5,-1.80,
2/26/93,1538.3,1623.9,1538.3,1620.2,5.45,
3/31/93,1652.8,1689.7,1623.6,1674.5,3.35,
4/30/93,1676.4,1716.0,1662.0,1685.2,0.64,
5/31/93,1668.7,1762.5,1668.1,1737.4,3.10,
6/30/93,1732.8,1742.6,1697.7,1734.6,-0.16,
7/30/93,1752.3,1837.1,1752.3,1837.1,5.91,
8/31/93,1846.7,1961.6,1836.0,1961.6,6.78,
9/30/93,1977.3,1977.3,1856.5,1919.8,-2.13,
10/29/93,1928.8,2070.6,1928.8,2070.6,7.85,
11/30/93,2091.7,2091.7,1950.2,1953.7,-5.65,
12/31/93,1949.0,2113.6,1949.0,2113.6,8.18,
1/31/94,2115.4,2244.4,2112.8,2244.4,6.19,
2/28/94,2244.2,2275.6,2079.0,2112.0,-5.90,
3/31/94,2112.0,2112.0,1980.1,1980.1,-6.25,
4/29/94,1980.6,2048.1,1966.8,2004.2,1.22,
5/31/94,1986.3,2072.1,1928.7,2021.2,0.85,
6/30/94,2036.5,2036.5,1901.3,1931.1,-4.46,
7/29/94,1907.8,2021.6,1902.2,2003.5,3.75,
8/31/94,2025.4,2063.9,1983.5,2063.9,3.01,
9/30/94,2047.6,2049.2,1952.3,1967.7,-4.66,
10/31/94,1970.7,1980.9,1906.5,1980.9,0.67,
11/30/94,1965.2,1965.2,1800.7,1833.8,-7.43,
12/30/94,1845.3,1884.0,1790.4,1857.4,1.29,
1/31/95,1849.1,1849.1,1784.7,1784.7,-3.91,
2/28/95,1789.7,1881.1,1782.3,1881.1,5.40,
3/31/95,1878.1,1880.0,1827.1,1867.1,-0.74,
4/28/95,1859.1,2006.5,1859.1,2006.5,7.47,
5/31/95,1997.4,2037.6,1957.1,1981.4,-1.25,
6/30/95,1983.2,2000.5,1928.3,1981.0,-0.02,
7/31/95,1970.1,2104.0,1970.1,2083.3,5.16,
8/31/95,2087.6,2119.9,2063.6,2094.3,0.53,
9/29/95,2094.4,2124.1,2075.1,2091.3,-0.14,
10/31/95,2094.3,2094.3,2018.2,2029.7,-2.95,
11/30/95,2010.6,2115.0,2010.6,2113.2,4.11,
12/29/95,2119.1,2182.1,2119.1,2154.9,1.97,
1/31/96,2178.6,2227.8,2174.3,2227.8,3.38,
2/29/96,2224.4,2240.4,2178.9,2228.2,0.02,
3/29/96,2249.8,2258.4,2122.2,2164.0,-2.88,
4/30/96,2166.8,2258.8,2155.0,2248.7,3.91,
5/31/96,2247.2,2256.0,2179.4,2198.0,-2.25,
6/28/96,2161.4,2189.5,2134.0,2171.8,-1.19,
7/31/96,2175.7,2187.1,2030.4,2114.1,-2.66,
8/30/96,2121.4,2220.5,2121.4,2196.1,3.88,
9/30/96,2185.6,2218.6,2148.6,2218.6,1.02,
10/31/96,2214.9,2312.8,2214.9,2286.2,3.05,
11/29/96,2276.1,2327.9,2273.6,2325.9,1.74,
12/31/96,2322.8,2367.8,2255.4,2367.8,1.80,
1/31/97,2355.4,2388.5,2344.8,2370.7,0.12,
2/28/97,2375.2,2444.0,2355.9,2386.0,0.65,
3/27/97,2357.8,2404.9,2321.2,2360.5,-1.07,
4/30/97,2293.8,2424.1,2293.8,2424.1,2.69,
5/30/97,2421.3,2544.9,2421.3,2544.9,4.98,
6/30/97,2560.5,2664.7,2532.0,2664.7,4.71,
7/31/97,2660.2,2685.8,2577.8,2673.7,0.34,
8/29/97,2663.0,2663.0,2526.8,2526.8,-5.49,
9/30/97,2525.3,2718.2,2515.7,2703.1,6.98,
10/31/97,2716.7,2717.6,2260.9,2415.0,-10.66,
11/28/97,2454.4,2526.2,2389.1,2424.1,0.38,
12/31/97,2472.0,2567.4,2448.3,2567.4,5.91,
1/30/98,2560.4,2637.0,2492.0,2600.8,1.30,
2/27/98,2613.6,2630.7,2559.0,2626.9,1.00,
3/31/98,2629.8,2733.0,2591.8,2686.0,2.25,
4/30/98,2694.1,2828.2,2694.1,2709.0,0.86,
5/29/98,2745.9,2754.8,2625.6,2655.3,-1.98,
6/30/98,2631.5,2631.5,2487.8,2620.1,-1.33,
7/31/98,2655.7,2758.9,2647.1,2661.3,1.57,
8/31/98,2629.0,2636.7,2430.1,2430.1,-8.69,
9/30/98,2405.2,2560.4,2402.8,2511.3,3.34,
10/30/98,2491.9,2563.0,2377.9,2563.0,2.06,
11/30/98,2589.6,2691.4,2589.6,2685.6,4.78,
12/31/98,2646.0,2717.6,2586.9,2717.6,1.19,
1/29/99,2732.2,2800.4,2704.1,2781.7,2.36,
2/26/99,2805.0,2823.8,2747.2,2768.4,-0.48,
3/31/99,2794.1,2896.3,2769.4,2867.0,3.56,
4/30/99,2872.7,3067.5,2872.7,3027.8,5.61,
5/31/99,3001.6,3016.8,2820.7,2831.9,-6.47,
6/30/99,2848.6,2955.4,2848.6,2903.7,2.54,
7/30/99,2939.0,3053.9,2939.0,2951.0,1.63,
8/31/99,2937.1,2992.7,2873.6,2875.7,-2.55,
9/30/99,2920.5,2939.9,2817.0,2817.0,-2.04,
10/29/99,2848.8,2871.1,2722.3,2821.4,0.16,
11/30/99,2834.3,3021.4,2833.2,2970.3,5.28,
12/30/99,2976.3,3117.7,2976.3,3117.7,4.96,
1/31/00,3093.7,3160.8,2999.3,3080.2,-1.20,
2/29/00,3072.3,3192.3,3072.3,3124.6,1.44,
3/31/00,3187.2,3276.4,3133.3,3133.3,0.28,
4/28/00,3133.3,3201.9,2901.8,3115.8,-0.56,S&P assume responsibility for index maintenance
5/31/00,3115.8,3132.0,2985.5,3081.0,-1.12,
6/30/00,3081.0,3313.9,3066.7,3311.2,7.47,
7/31/00,3311.2,3337.4,3226.9,3251.1,-1.81,
8/31/00,3251.1,3386.9,3240.7,3297.8,1.44,
9/29/00,3297.8,3356.5,3176.1,3298.8,0.03,
10/31/00,3298.8,3330.7,3180.3,3254.6,-1.34,
11/30/00,3254.6,3381.5,3254.5,3274.6,0.61,
12/29/00,3274.6,3349.0,3171.7,3206.2,-2.09,
1/31/01,3206.2,3347.8,3206.2,3341.7,4.23,
2/28/01,3341.7,3364.6,3278.2,3326.5,-0.46,
3/30/01,3326.5,3370.9,3138.2,3147.2,-5.39,
4/30/01,3147.2,3333.9,3147.2,3329.4,5.79,
5/31/01,3329.4,3444.7,3321.7,3379.1,1.49,
6/29/01,3379.1,3490.3,3377.8,3490.3,3.29,
7/31/01,3490.3,3490.3,3282.7,3324.5,-4.75,
8/31/01,3324.5,3424.9,3275.4,3275.8,-1.47,
9/28/01,3275.6,3295.1,2882.6,3049.4,-6.91,
10/31/01,3049.5,3286.1,3049.5,3249.8,6.57,
11/30/01,3249.6,3370.5,3222.2,3337.5,2.70,
12/31/01,3337.5,3440.6,3288.4,3422.3,2.54,
1/31/02,3422.3,3468.9,3377.3,3464.2,1.22,
2/28/02,3464.2,3506.1,3402.5,3414.3,-1.44,
3/28/02,3414.3,3499.9,3382.1,3414.8,0.01,
4/30/02,3414.8,3424.6,3337.5,3350.0,-1.90,
5/31/02,3350.0,3420.0,3295.9,3373.6,0.70,
6/28/02,3373.6,3388.2,3174.0,3216.0,-4.67,
7/31/02,3216.0,3259.0,2982.1,3086.2,-4.03,
8/30/02,3086.2,3202.9,2955.7,3120.1,1.10,
9/30/02,3120.1,3156.7,2953.2,2970.9,-4.78,
10/31/02,2970.9,3043.0,2883.5,3042.9,2.43,
11/29/02,3042.9,3079.7,2950.7,3061.4,0.61,
12/31/02,3061.4,3083.8,2945.9,3007.1,-1.77,
1/31/03,3007.1,3094.1,2929.1,2956.9,-1.67,
2/28/03,2956.9,2969.2,2794.4,2800.9,-5.28,
3/31/03,2800.9,2911.9,2693.3,2885.2,3.01,
4/30/03,2885.2,3023.7,2865.9,3007.5,4.24,
5/30/03,3007.5,3026.1,2917.9,3011.0,0.12,
6/30/03,3011.0,3124.6,3011.0,3026.9,0.53,
7/31/03,3025.8,3131.8,3003.8,3122.3,3.15,
8/29/03,3122.3,3210.7,3120.1,3199.7,2.48,
9/30/03,3199.7,3247.4,3157.5,3169.5,-0.94,
10/31/03,3169.5,3311.8,3153.0,3272.0,3.23,
11/28/03,3272.0,3276.3,3158.8,3186.4,-2.62,
12/31/03,3186.4,3302.0,3162.5,3299.8,3.56,
1/30/04,3299.8,3346.2,3258.3,3272.0,-0.84,
2/27/04,3272.0,3360.9,3252.9,3360.6,2.71,
3/31/04,3360.6,3456.1,3360.6,3415.3,1.63,
4/30/04,3415.3,3469.2,3378.6,3400.8,-0.42,
5/31/04,3400.8,3467.6,3341.0,3460.2,1.75,
6/30/04,3460.2,3556.4,3453.6,3532.9,2.10,
7/30/04,3532.9,3568.7,3478.2,3536.1,0.09,
8/31/04,3536.1,3568.7,3467.1,3552.7,0.47,
9/30/04,3553.7,3673.1,3553.7,3665.0,3.16,
10/29/04,3665.0,3779.5,3654.6,3778.6,3.10,
11/30/04,3778.6,3943.6,3777.9,3931.3,4.04,
12/31/04,3931.3,4055.0,3877.1,4050.6,3.03,
1/31/05,4050.6,4121.0,4026.1,4107.3,1.40,
2/28/05,4107.3,4195.6,4096.9,4172.8,1.59,
3/31/05,4172.8,4266.9,4059.5,4109.8,-1.51,
4/29/05,4109.8,4165.6,3958.3,3983.2,-3.08,
5/31/05,3983.2,4142.5,3926.6,4106.4,3.09,
6/30/05,4106.4,4321.7,4098.8,4277.5,4.17,
7/29/05,4277.5,4398.8,4213.6,4388.8,2.60,
8/31/05,4388.8,4502.2,4361.4,4446.8,1.32,
9/30/05,4446.8,4679.1,4440.9,4641.2,4.37,
10/31/05,4641.2,4654.3,4311.1,4459.7,-3.91,
11/30/05,4459.7,4680.1,4441.8,4634.8,3.93,
12/30/05,4634.8,4775.8,4549.3,4763.4,2.77,
1/31/06,4763.4,4964.1,4751.1,4929.6,3.49,
2/28/06,4929.6,4982.6,4790.8,4921.4,-0.17,
3/31/06,4921.3,5139.5,4844.8,5129.7,4.23,
4/28/06,5129.7,5336.6,5122.1,5258.8,2.52,
5/31/06,5258.8,5406.7,4976.8,5001.7,-4.89,
6/30/06,5001.7,5120.0,4758.3,5073.9,1.44,
7/31/06,5073.9,5146.6,4899.9,4986.0,-1.73,
8/31/06,4986.0,5115.4,4919.5,5115.4,2.60,
9/29/06,5115.4,5164.2,4961.3,5154.1,0.76,
10/31/06,5154.1,5409.9,5142.7,5384.4,4.47,
11/30/06,5384.4,5496.3,5322.4,5482.1,1.81,
12/29/06,5482.1,5684.4,5411.0,5669.9,3.43,
1/31/07,5669.9,5829.3,5499.0,5773.4,1.83,
2/28/07,5773.4,6052.1,5773.4,5832.5,1.02,
3/30/07,5832.5,5998.9,5641.1,5995.1,2.79,
4/30/07,5995.0,6265.2,5915.8,6166.0,2.85,
5/31/07,6166.0,6384.1,6134.2,6313.5,2.39,
6/29/07,6313.5,6409.2,6170.2,6274.9,-0.61,
7/31/07,6274.9,6436.7,6044.3,6144.2,-2.08,
8/31/07,6144.2,6247.2,5483.3,6247.2,1.68,
9/28/07,6247.2,6594.4,6146.5,6567.8,5.13,
10/31/07,6567.8,6800.2,6542.9,6754.2,2.84,
11/30/07,6754.1,6851.5,6312.6,6533.2,-3.27,GFC Peak
12/31/07,6533.1,6684.4,6105.1,6339.8,-2.96,
1/31/08,6339.8,6385.7,5186.8,5650.3,-10.88,
2/29/08,5650.3,6022.0,5490.4,5572.1,-1.38,
3/31/08,5572.1,5572.1,5039.6,5355.7,-3.88,
4/30/08,5355.7,5672.7,5301.0,5595.4,4.48,
5/30/08,5595.4,5980.8,5538.7,5654.7,1.06,
6/30/08,5654.7,5681.5,5144.7,5215.3,-7.77,
7/31/08,5215.3,5231.9,4787.5,4977.4,-4.56,
8/29/08,4977.4,5146.3,4758.5,5135.6,3.18,
9/30/08,5135.6,5177.2,4527.4,4600.5,-10.42,
10/31/08,4600.5,4832.5,3724.8,4018.0,-12.66,
11/28/08,4018.0,4340.5,3217.5,3742.5,-6.86,
12/31/08,3742.5,3742.5,3474.1,3722.3,-0.54,
1/30/09,3723.9,3817.9,3342.7,3540.7,-4.88,
2/27/09,3519.4,3578.7,3296.2,3344.5,-5.54,
3/31/09,3329.4,3706.6,3120.8,3582.2,7.11,
4/30/09,3583.6,3851.2,3550.9,3780.5,5.54,
5/29/09,3771.4,3960.4,3714.9,3818.0,0.99,
6/30/09,3826.4,4079.4,3767.9,3954.9,3.59,
7/31/09,3939.5,4247.9,3709.2,4244.0,7.31,
8/31/09,4245.9,4537.2,4244.6,4479.1,5.54,
9/30/09,4476.6,4767.9,4410.0,4743.6,5.91,
10/30/09,4738.8,4895.3,4562.5,4643.2,-2.12,
11/30/09,4611.0,4799.0,4502.5,4701.4,1.25,
12/31/09,4696.9,4873.6,4596.2,4870.6,3.60,
1/29/10,4864.9,4955.1,4566.7,4569.6,-6.18,
2/26/10,4569.9,4718.3,4464.9,4637.7,1.49,
3/31/10,4633.1,4928.9,4633.1,4875.5,5.13,
4/30/10,4880.0,5025.1,4779.3,4807.4,-1.40,
5/31/10,4782.8,4804.5,4175.7,4429.7,-7.86,
6/30/10,4430.6,4622.0,4249.5,4301.5,-2.89,
7/30/10,4284.6,4531.6,4182.3,4493.5,4.46,
8/31/10,4495.1,4598.7,4313.9,4404.2,-1.99,
9/30/10,4413.3,4698.0,4413.3,4582.9,4.06,
10/29/10,4593.1,4725.9,4559.0,4661.6,1.72,
11/30/10,4665.7,4815.0,4551.2,4584.4,-1.66,
12/31/10,4581.4,4811.9,4557.0,4745.2,3.51,
1/31/11,4758.3,4839.2,4686.5,4753.9,0.18,
2/28/11,4759.1,4944.4,4751.8,4831.7,1.64,
3/31/11,4839.7,4864.3,4477.4,4837.9,0.13,
4/29/11,4836.1,4976.4,4788.6,4823.2,-0.30,
5/31/11,4826.3,4835.5,4582.7,4708.3,-2.38,
6/30/11,4711.3,4724.8,4451.7,4608.0,-2.13,
7/29/11,4612.2,4657.4,4421.1,4424.7,-3.98,
8/31/11,4440.9,4517.4,3765.9,4296.6,-2.90,
9/30/11,4297.9,4354.6,3862.4,4008.6,-6.70,
10/31/11,3990.6,4417.6,3840.2,4298.1,7.22,
11/30/11,4278.1,4365.0,3973.8,4119.8,-4.15,
12/30/11,4119.8,4335.2,4038.1,4056.6,-1.54,
1/31/12,4069.3,4315.6,4069.1,4262.7,5.08,
2/29/12,4259.6,4318.8,4170.2,4298.6,0.84,
3/30/12,4298.5,4361.1,4143.7,4335.2,0.85,
4/30/12,4348.8,4397.9,4246.1,4396.6,1.41,
5/31/12,4396.6,4448.5,4024.8,4076.3,-7.29,
6/29/12,4075.8,4159.3,3985.0,4094.6,0.45,
7/31/12,4098.0,4288.1,4062.3,4269.2,4.26,
8/31/12,4269.2,4403.9,4212.7,4316.1,1.10,
9/28/12,4310.0,4421.0,4261.2,4387.0,1.64,
10/31/12,4387.0,4581.8,4375.0,4517.0,2.96,
11/30/12,4517.0,4519.3,4334.3,4506.0,-0.24,
12/31/12,4506.0,4688.6,4500.2,4649.0,3.17,
1/31/13,4648.9,4906.2,4648.9,4878.8,4.94,
2/28/13,4878.8,5112.5,4869.5,5104.1,4.62,
3/28/13,5104.1,5163.5,4927.9,4966.5,-2.70,
4/30/13,4966.5,5195.1,4883.7,5191.2,4.52,
5/31/13,5187.3,5249.6,4897.9,4926.6,-5.10,
6/28/13,4926.6,4933.3,4632.3,4802.6,-2.52,
7/31/13,4802.6,5098.5,4702.7,5052.0,5.19,
8/30/13,5052.0,5168.2,5007.9,5135.0,1.64,
9/30/13,5135.0,5314.3,5115.1,5218.9,1.63,
10/31/13,5218.9,5457.3,5118.9,5425.5,3.96,
11/29/13,5425.5,5439.2,5284.9,5320.1,-1.94,
12/31/13,5320.0,5367.4,5028.2,5352.2,0.60,
1/31/14,5352.2,5383.4,5158.9,5190.0,-3.03,
2/28/14,5190.0,5461.7,5052.2,5404.8,4.14,
3/31/14,5404.8,5462.3,5288.5,5394.8,-0.18,
4/30/14,5394.8,5554.5,5350.5,5489.1,1.75,
5/30/14,5489.1,5541.7,5372.1,5492.6,0.06,
6/30/14,5484.1,5526.0,5373.6,5395.8,-1.76,
7/31/14,5395.7,5644.2,5370.9,5632.9,4.40,
8/29/14,5632.9,5679.5,5425.2,5625.9,-0.12,
9/30/14,5625.9,5672.7,5253.1,5292.8,-5.92,
10/31/14,5292.8,5526.6,5122.0,5526.6,4.42,
11/28/14,5526.6,5550.3,5292.9,5313.0,-3.86,
12/31/14,5313.0,5486.7,5142.8,5411.0,1.84,
1/30/15,5411.0,5619.5,5267.4,5588.3,3.28,
2/27/15,5588.3,5955.5,5588.3,5928.8,6.09,
3/31/15,5928.8,5996.9,5748.7,5891.5,-0.63,
4/30/15,5891.5,5996.4,5749.9,5790.0,-1.72,
5/29/15,5790.0,5901.8,5574.6,5777.2,-0.22,
6/30/15,5777.2,5777.2,5390.5,5459.0,-5.51,
7/31/15,5459.0,5718.9,5383.7,5699.2,4.40,
8/31/15,5699.2,5727.7,4928.3,5207.0,-8.64,
9/30/15,5207.0,5221.1,4918.4,5021.6,-3.56,
10/30/15,5021.7,5384.8,5021.7,5239.4,4.34,
11/30/15,5239.4,5313.7,4979.2,5166.5,-1.39,
12/31/15,5166.5,5325.8,4909.6,5295.9,2.50,
1/29/16,5295.9,5331.4,4803.9,5005.5,-5.48,
2/29/16,5005.5,5073.0,4706.7,4880.9,-2.49,
3/31/16,4880.9,5216.2,4868.1,5082.8,4.14,
4/29/16,5082.8,5281.6,4893.5,5252.2,3.33,
5/31/16,5252.2,5427.7,5182.2,5378.6,2.41,
6/30/16,5378.6,5392.5,5051.0,5233.4,-2.70,
7/29/16,5233.4,5570.4,5148.7,5562.4,6.29,
8/31/16,5562.4,5611.2,5412.6,5433.0,-2.33,
9/30/16,5433.0,5473.3,5192.2,5435.9,0.05,
10/31/16,5435.9,5498.0,5261.4,5317.7,-2.17,
11/30/16,5317.7,5520.9,5052.1,5440.5,2.31,
12/30/16,5440.5,5699.1,5383.8,5665.8,4.14,
1/31/17,5667.4,5827.5,5604.3,5620.9,-0.79,
2/28/17,5620.9,5833.2,5582.7,5712.2,1.62,
3/31/17,5712.2,5901.5,5675.0,5864.9,2.67,
4/28/17,5864.9,5950.1,5790.6,5924.1,1.01,
5/31/17,5924.1,5956.5,5679.8,5724.6,-3.37,
6/30/17,5724.6,5836.4,5629.8,5721.5,-0.05,
7/31/17,5721.5,5799.6,5653.3,5720.6,-0.02,
8/31/17,5720.6,5806.3,5645.8,5714.5,-0.11,
9/29/17,5714.5,5777.7,5639.4,5681.6,-0.58,
10/31/17,5681.6,5938.1,5650.9,5909.0,4.00,
11/30/17,5909.0,6052.1,5909.0,5969.9,1.03,
12/29/17,5969.9,6092.8,5938.7,6065.1,1.60,
1/31/18,6065.1,6150.0,5991.9,6037.7,-0.45,
2/28/18,6037.7,6121.4,5786.8,6016.0,-0.36,
3/29/18,6016.0,6026.1,5752.7,5759.4,-4.27,
4/30/18,5759.4,5991.1,5724.8,5982.7,3.88,
5/31/18,5982.7,6146.8,5964.1,6011.9,0.49,
6/29/18,6011.9,6250.8,5972,6194.63,3.04,
7/31/18,6194.63,6306.1,6174.4,6280.2,1.38,
8/31/18,6280.2,6373.5,6230.9,6319.5,0.63,
9/28/18,6319.5,6333.7,6102,6207.56,-1.77,
10/31/18,6207.6,6207.6,5624.6,5830.31,-6.08,
11/30/18,5830.3,5941.3,5594,5667.16,-2.80,
12/31/18,5667.2,5771.2,5410.2,5646.37,-0.37,
1/31/19,5646.4,5915.2,5552,5864.65,3.87,
2/28/19,5864.7,6191.1,5848.9,6168.99,5.19,
3/29/19,6169,6270.9,6096.8,6180.73,0.19,
4/30/19,6180.7,6390.5,6169.8,6325.47,2.34,
5/31/19,6325.5,6510.9,6203.1,6396.85,1.13,
6/28/19,6396.9,6691.5,6315.6,6618.77,3.47,
Market Index is going through some changes. Thes files won't be updated for a couple of months.,,,,,,